ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
1113356,PETER STOKKEBYE,5,NOVELTY,NOVELTY
1113357,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111336,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111337,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111338,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111339,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111340,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111341,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111342,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111343,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111344,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111345,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111354,PETER STOKKEBYE,5,NOVELTY,NOVELTY
1113551,PETER STOKKEBYE,5,NOVELTY,NOVELTY
1113552,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111730,EAGLE MENTHOL GOLDKING,2,CGRTPACK,CIGRT PACK
1122,LA AROMA DE CUBA,6,PRMCIGAR,PREMIUM CIGAR
112820,EAGLE20S BLUE KING,2,CGRTPACK,CIGRT PACK
112830,EAGLE 20S RED KING,2,CGRTPACK,CIGRT PACK
112850,EAGLE M.SILVER KING,2,CGRTPACK,CIGRT PACK
112870,EAGLE 20S BLUE 100,2,CGRTPACK,CIGRT PACK
112880,EAGLE 20S RED 100,2,CGRTPACK,CIGRT PACK
112900,EAGLE20S ORANGE KING,2,CGRTPACK,CIGRT PACK
112910,EAGLE20S ORANGE 100,2,CGRTPACK,CIGRT PACK
112930,EAGLE M.GOLD 100,2,CGRTPACK,CIGRT PACK
112940,EAGLE 20 M.SILVER 100,2,CGRTPACK,CIGRT PACK
112970,EVE AMETHYST - PURPLE PK,2,CGRTPACK,CIGRT PACK
112990,EVE SAPPHIRE - BLUE PK,2,CGRTPACK,CIGRT PACK
113000,EVE TURQUOISE - LT GREEN PK,2,CGRTPACK,CIGRT PACK
114050,PYRAMID NONFILTER,2,CGRTPACK,CIGRT PACK
115320,EAGLE NON FILTER,2,CGRTPACK,CIGRT PACK
115800,LIGGETT NF BX,2,CGRTPACK,CIGRT PACK
116360,GRAND PRIX BLUE BX,2,CGRTPACK,CIGRT PACK
116380,GRAND PRIX BLUE 100BX,2,CGRTPACK,CIGRT PACK
118505122032,CHAMP DETOX - STRAW-KIWI,5,NOVELTY,NOVELTY
1199SPINNER,11.99 SPINNER,5,NOVELTY,NOVELTY
12,GLADIUS COIL,5,NOVELTY,NOVELTY
12.99SPINNER,FIDGET SPINNER,5,NOVELTY,NOVELTY
121080,AQUAFINA WATER,10,NONE,NONE
12111,P. BULLET N,6,PRMCIGAR,PREMIUM CIGAR
12113,P. CUBAN BULLET ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
1211312,DIP TO GO,7,CHEWLOG,LOG CHEW
121211,MEERSCHAUM PIPE,5,NOVELTY,NOVELTY
1212111,HOOKAH,5,NOVELTY,NOVELTY
12121113,HOOKAH,5,NOVELTY,NOVELTY
1212112,HOOKAH,5,NOVELTY,NOVELTY
12121121,ELEMENT TRAY,5,NOVELTY,NOVELTY
121211212,CRYSTAL ASHTRAY,5,NOVELTY,NOVELTY
