ItemNum,ItemName,Dept_ID,Cost,Category_ID,Category_Name,AltSku
032733898470,HELIX BAR STRAWBERRY,ZIIPLAB,0.00000000,NONE,NONE,032733898470
032733898487,HELIX BAR STRAWBERRY ICED,ZIIPLAB,0.00000000,NONE,NONE,032733898487
032733898494,HELIXBAR mango disposable,ZIIPLAB,0.00000000,NONE,NONE,
032733898500,HELIX BAR - MANGO ICED,ZIIPLAB,0.00000000,NONE,NONE,
032733898524,HELIXBAR blue raspberry ice,ZIIPLAB,0.00000000,NONE,NONE,
032733898531,HELIX BAR CAKE,ZIIPLAB,0.00000000,NONE,NONE,
032733898548,HELIXBAR mint,ZIIPLAB,0.00000000,NONE,NONE,
032733898555,HELIXBAR apple,ZIIPLAB,0.00000000,NONE,NONE,
032733898562,HELIX BAR APPLE ICED,ZIIPLAB,0.00000000,NONE,NONE,
032733898586,HELIX BAR WATERMELON ICE,ZIIPLAB,0.00000000,NONE,NONE,
032733900975,HELIX BAR - GRAPE,ZIIPLAB,0.00000000,NONE,NONE,
032733900982,HELIX BAR - GRAPE ICE,ZIIPLAB,0.00000000,NONE,NONE,
032733901033,HELIX BAR - PEACH,ZIIPLAB,0.00000000,NONE,NONE,
032733901040,HELIX BAR - PEACH ICE,ZIIPLAB,0.00000000,NONE,NONE,
032733903082,DAZE SALT APPLE 30MG,10,0.00000000,NONE,NONE,032733903198
032733903105,DAZE SALT APPLE GRAPE 30MG,10,0.00000000,NONE,NONE,
032733903112,DAZE SALT GRAPE ICED 30MG,10,0.00000000,NONE,NONE,
032733903143,Daze Apple Peach,ZIIPLAB,0.00000000,NONE,NONE,
032733903204,DAZE SALT APPLWATRMELN 30MG,10,0.00000000,NONE,NONE,
032733903228,DAZE SALT APPLE GUAVA 30MG,10,0.00000000,NONE,NONE,
032733903242,DAZE SALT APPLE BERRIES 30MG,10,0.00000000,NONE,NONE,
032733903266,DAZE SALT APPLE 50MG,10,0.00000000,NONE,NONE,
032733903327,,SALT NIC,0.00000000,NONE,NONE,
032733903341,DAZE SALT APPL FRT MIX 50MG,10,0.00000000,NONE,NONE,032733903099
032733903389,DAZE SALT APPLWATERMLN 50MG,10,0.00000000,NONE,NONE,
032733903426,DAZE SALT APPLE BERRIES 50MG,10,0.00000000,NONE,NONE,
03400607,ICE BREAKERS SPEARMINT,9,0.00000000,NONE,NONE,
03400704,ICE BREAKERS COOL MINT,9,0.00000000,NONE,NONE,
03400908,ICE BREAKERS WINTERGREEN,9,0.00000000,NONE,NONE,
03405204,REESES FAST BREAK,9,0.00000000,NONE,NONE,
03423909,HERSHEYS COOKIES N CREME BAR,9,0.00000000,NONE,NONE,
03424005,HERSHEYS MILK CHOCOLATE BAR,9,0.00000000,NONE,NONE,
03424102,HERSHEYS ALMOND BAR,9,0.00000000,NONE,NONE,
03424607,KIT KAT BAR,9,0.00000000,NONE,NONE,
03434002,CADBURY CARAMELLO BAR,9,0.00000000,NONE,NONE,
03438600,REESES TAKE 5,9,0.00000000,NONE,NONE,
03444009,REESES PEANUT BUTTER CUPS 2PK,9,0.00000000,NONE,NONE,
03452202,ALMOND JOY,9,0.00000000,NONE,NONE,
03476406,BREATH SAVERS PEPPERMINT,9,0.00000000,NONE,NONE,
03476707,BREATH SAVERS WINTERGREEN,9,0.00000000,NONE,NONE,
03477104,BREATH SAVERS,9,0.00000000,NONE,NONE,
036,CAKE LINE 60ML,10,7.00000000,NONE,NONE,
036000291452,VAPE TRICK KIT,8,0.00000000,NONE,NONE,
038000183690,PRINGLES BBQ,9,0.00000000,NONE,NONE,
038000328534,PRINGLES HOT ONES BARBACOA,9,0.00000000,NONE,NONE,
03924823984,PUFF MINI MANGO SLUSH,ZIIPLAB,0.00000000,NONE,NONE,
039339999464,NIC BAR BLOOD ORANGE,ZIIPLAB,0.00000000,NONE,NONE,
039339999471,NIC BAR BLOOD ORANGE ICE,ZIIPLAB,0.00000000,NONE,NONE,
039339999495,NIC BAR STRAWBERRY GUAVA ICE,ZIIPLAB,0.00000000,NONE,NONE,
039339999518,NIC BAR RASPBERRY ICE,ZIIPLAB,0.00000000,NONE,NONE,
039339999525,NIC BAR SOUR APPLE ICE,ZIIPLAB,0.00000000,NONE,NONE,
040000000310,M&M MILK CHOCOLATE,9,0.00000000,NONE,NONE,
040000000327,M&MS PEANUT,9,0.00000000,NONE,NONE,
040000001447,M&M PEANUT BUTTER,9,0.00000000,NONE,NONE,
040000001607,SKITTLES ORIGINAL,9,0.00000000,NONE,NONE,
040000004356,TWIX BAR,9,0.00000000,NONE,NONE,
040000006039,3 MUSKATEERS,9,0.00000000,NONE,NONE,
040000422068,MILKY WAY BAR,9,0.00000000,NONE,NONE,
040000424314,SNICKERS BAR,9,0.00000000,NONE,NONE,
040000459842,DOVE MILK CHOCOLATE,9,0.00000000,NONE,NONE,
040232393006,CRISPY TREATS 60ML,10,12.00000000,NONE,NONE,040232392986
040232443572,BOMB SAUCE 120ML PEACH 3MG,10,0.00000000,NONE,NONE,040232443527
040232443916,AP SALT(BOMB SAUCE)30ML,SALT NIC,0.00000000,NONE,NONE,040232444555
040232468964,ZABBA 100ML,10,0.00000000,NONE,NONE,040232468926
040232540059,CLASSIC PEPPERMINT SALT 30ML,10,0.00000000,NONE,NONE,040232540059
040232541346,LOST BLCKBRY PNCH 3MG 60ML,10,0.00000000,NONE,NONE,
040232541377,LOST PINAPPL GUVA MLN 3MG 60ML,10,0.00000000,NONE,NONE,
040232651878,AP V 120ML MG grape,10,0.00000000,NONE,NONE,
040232663833,ETHOS CANDY TREATS 120ML,10,0.00000000,NONE,NONE,040232663826
040385160838,ACTIVE,3,0.00000000,NONE,NONE,
0404199504,ZSTICK ZIIP,ZIIPLAB,0.00000000,NONE,NONE,673869550636
046139377064,TREETOP D8 ORANGE COOKIES,CBD,0.00000000,NONE,NONE,
046139377071,TREETOP DELTA 8 ORANGE COOKIE,ZIIPLAB,0.00000000,NONE,NONE,
046139377095,TREETOP DELTA 8 CHERRY PIE,ZIIPLAB,0.00000000,NONE,NONE,
046139377118,TREETOP D8 CHERRY PIE,CBD,0.00000000,NONE,NONE,
046139377125,TREETOP D8 GUMMY PEACH,CBD,0.00000000,NONE,NONE,
046139377132,TREETOP PEACH 30MG,CBD,0.00000000,NONE,NONE,
046149838982,PROPHET STRAW MELON TWIST,ZIIPLAB,0.00000000,NONE,NONE,
046149839002,PROPHET TROPI BLUE RASP,ZIIPLAB,0.00000000,NONE,NONE,
046149839026,PROPHET BLU LEMON DRP,ZIIPLAB,0.00000000,NONE,NONE,
